License and version,FSF approval_Yes,GPL (v3) compatibility_No,GPL (v3) compatibility_Yes,OSI approval_Yes,Copyfree approval_No,Debian approval_Yes,Fedora approval_Yes
Apache License,1,0,1,1,1,1,1
CPAL,1,1,0,1,1,1,1
AGPL,1,0,1,1,1,1,1
GPL2,1,1,0,1,1,1,1
GPL3,1,0,1,1,1,1,1
GPL,1,0,1,1,1,1,1
MPL,1,0,1,1,1,1,1
