Package,Windows,Mac OS,Linux
Adempiere,1,1,1
Apache OFBiz,1,1,1
Compiere,1,1,1
FrontAccounting,1,1,1
GnuCash,1,1,1
GNU Enterprise,1,1,1
HomeBank,1,1,1
iDempiere,1,1,1
JFire,1,0,1
KMyMoney,1,1,1
LedgerSMB,1,1,1
Openbravo,1,1,1
Odoo,1,1,1
Postbooks,1,1,1
SQL-Ledger,1,1,1
Tryton,1,1,1
TurboCASH,1,1,0
webERP,1,1,1
