License and version,FSF approval,GPL (v3) compatibility,OSI approval,Copyfree approval,Debian approval,Fedora approval
Apache License,1,1,1,0,1,1
CPAL,1,0,1,0,1,1
AGPL,1,1,1,0,1,1
GPL2,1,0,1,0,1,1
GPL3,1,1,1,0,1,1
GPL,1,1,1,0,1,1
MPL,1,1,1,0,1,1
